"sales_id","sales_rep","email","brands","plant_cost","unit_price","quantity","costs","profit","countries","region","months","years"
"10101","Jardine","jard@gmail.com","trophy","150.00","200.00",725,"145000.00","36250.00","Ghana","Southeast","January",2019
"10102","Gill","gillhell@uk.com","budweiser","250.00","500.00",815,"407500.00","203750.00","Nigeria","west","February",2018
"10103","Sorvino","sorvi2000@gmail.com","castle lite","180.00","450.00",937,"421650.00","252990.00","Togo","southsouth","March",2018
"10104","Jones","jone.ai@yahoo.com","eagle lager","170.00","250.00",765,"191250.00","61200.00","Benin","northwest","April",2018
"10105","Andrews","andy@gmail.com","hero","150.00","200.00",836,"167200.00","41800.00","Senegal","northeast ","May",2017
"10106","Jardine","jard@gmail.com","beta malt","80.00","150.00",798,"119700.00","55860.00","Ghana","northcentral ","June",2019
"10107","Thompson","thomp@uk.com","grand malt","90.00","150.00",954,"143100.00","57240.00","Nigeria","Southeast","July",2017
"10108","Jones","jone.ai@yahoo.com","trophy","150.00","200.00",812,"162400.00","40600.00","Togo","west","August",2018
"10109","Morgan","morganny@gmail.com","budweiser","250.00","500.00",700,"350000.00","175000.00","Benin","southsouth","September",2019
"10110","Howard","howard_freeman@yahoo.com","castle lite","180.00","450.00",745,"335250.00","201150.00","Senegal","northwest","October",2017
"10111","Parent","parentty@uk.com","eagle lager","170.00","250.00",861,"215250.00","68880.00","Ghana","northeast ","November",2017
"10112","Jones","jone.ai@yahoo.com","hero","150.00","200.00",902,"180400.00","45100.00","Nigeria","northcentral ","December",2019
"10113","Smith","smithMan@yahoo.com","beta malt","80.00","150.00",731,"109650.00","51170.00","Togo","Southeast","January",2018
"10114","Jones","jone.ai@yahoo.com","grand malt","90.00","150.00",843,"126450.00","50580.00","Benin","west","February",2017
"10115","Morgan","morganny@gmail.com","trophy","150.00","200.00",939,"187800.00","46950.00","Senegal","southsouth","March",2018
"10116","Jones","jone.ai@yahoo.com","budweiser","250.00","500.00",709,"354500.00","177250.00","Ghana","northwest","April",2019
"10117","Parent","parentty@uk.com","castle lite","180.00","450.00",837,"376650.00","225990.00","Nigeria","northeast ","May",2017
"10118","Kivell","kivel_go@yahoo.com","eagle lager","170.00","250.00",910,"227500.00","72800.00","Togo","northcentral ","June",2018
"10119","Smith","smithMan@yahoo.com","hero","150.00","200.00",996,"199200.00","49800.00","Benin","Southeast","July",2019
